TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,01/01/2024,00:00,23:59,2847.3,kWh,512.51,
Electric usage,01/02/2024,00:00,23:59,2692.8,kWh,484.70,
Electric usage,01/03/2024,00:00,23:59,2918.4,kWh,525.31,
Electric usage,01/04/2024,00:00,23:59,2540.1,kWh,457.22,
Electric usage,01/05/2024,00:00,23:59,2423.7,kWh,436.27,
Electric usage,01/06/2024,00:00,23:59,2284.9,kWh,411.28,
Electric usage,01/07/2024,00:00,23:59,2198.3,kWh,395.69,
Electric usage,01/08/2024,00:00,23:59,2310.6,kWh,415.91,
Electric usage,01/09/2024,00:00,23:59,2476.2,kWh,445.72,
Electric usage,01/10/2024,00:00,23:59,2634.8,kWh,474.26,
Electric usage,01/11/2024,00:00,23:59,2789.1,kWh,502.04,
Electric usage,01/12/2024,00:00,23:59,3012.5,kWh,542.25,
Electric usage,02/01/2024,00:00,23:59,2901.7,kWh,522.31,
Electric usage,02/02/2024,00:00,23:59,2745.3,kWh,494.15,
Electric usage,02/03/2024,00:00,23:59,2873.9,kWh,517.30,
Electric usage,02/04/2024,00:00,23:59,2611.2,kWh,470.02,
Electric usage,02/05/2024,00:00,23:59,2498.4,kWh,449.71,
Electric usage,02/06/2024,00:00,23:59,2367.8,kWh,426.20,
Electric usage,02/07/2024,00:00,23:59,2289.5,kWh,412.11,
Electric usage,02/08/2024,00:00,23:59,2401.3,kWh,432.23,
Electric usage,02/09/2024,00:00,23:59,2534.7,kWh,456.25,
Electric usage,02/10/2024,00:00,23:59,2698.9,kWh,485.80,
Electric usage,02/11/2024,00:00,23:59,2834.6,kWh,510.23,
Electric usage,02/12/2024,00:00,23:59,3145.2,kWh,566.14,
Electric usage,03/01/2024,00:00,23:59,2923.8,kWh,526.28,
Electric usage,03/02/2024,00:00,23:59,2778.4,kWh,500.11,
Electric usage,03/03/2024,00:00,23:59,2991.2,kWh,538.42,
Electric usage,03/04/2024,00:00,23:59,2650.7,kWh,477.13,
Electric usage,03/05/2024,00:00,23:59,0,kWh,0.00,Meter fault — reading unavailable
Electric usage,03/06/2024,00:00,23:59,2389.1,kWh,430.04,
